자전거번호,대여 대여소번호,대여 대여소명,from_lat,from_lng,반납일시,반납대여소번호,반납대여소명,to_lat,to_lng
SPB-59652,3579,광진 캠퍼스시티,37.54788971,127.0674515,2022.12.1 5:53,3587,우성식품 앞,37.54246521,127.0942307
SPB-37136,3581,광진광장,37.54747009,127.073967,2022.12.1 0:16,3586,군자역 비채온 오피스텔,37.55771255,127.0772705
SPB-48644,3886,광진구 민방위교육센터,37.5391922,127.0980148,2022.12.1 5:46,3886,광진구 민방위교육센터,37.5391922,127.0980148
SPB-59285,2244,교육개발원입구 교차로,37.47785187,127.0389099,2022.12.1 3:47,2537,양재역 8번출구 앞,37.48257065,127.036438
SPB-51429,3570,구의역 리버비스타 오피스텔,37.53809738,127.0890198,2022.12.1 0:07,3587,우성식품 앞,37.54246521,127.0942307
SPB-47908,3570,구의역 리버비스타 오피스텔,37.53809738,127.0890198,2022.12.1 4:31,3566,우성4차아파트,37.53507233,127.0761108
SPB-61590,4266,국민연금공단충정로사옥,37.56184769,126.9641495,2022.12.1 0:31,3115,북아현 치안센터 인근,37.56145477,126.9557495
SPB-33552,3586,군자역 비채온 오피스텔,37.55771255,127.0772705,2022.12.1 0:49,3549,건영아파트 앞,37.55514145,127.071106
SPB-39633,2090,기아자동차 사당점 앞,37.48377991,126.9779205,2022.12.1 5:45,2086,삼일수영장 앞,37.48712158,126.9743576
SPB-51445,2077,노들역 3번출구,37.51193619,126.9541626,2022.12.1 1:03,867,서빙고역 광장(1번출구),37.51990891,126.9892349
SPB-46760,2523,뉴코아 킴스클럽 앞,37.51019287,127.0072556,2022.12.1 0:17,2523,뉴코아 킴스클럽 앞,37.51019287,127.0072556
SPB-35455,672,대광고등학교,37.57875061,127.024025,2022.12.1 0:13,3416,동묘앞역 6번출구,37.5715332,127.0156174
SPB-83758,672,대광고등학교,37.57875061,127.024025,2022.12.1 5:41,671,대광빌딩,37.57734299,127.0233765
SPB-53266,671,대광빌딩,37.57734299,127.0233765,2022.12.1 5:41,671,대광빌딩,37.57734299,127.0233765
SPB-62223,1867,대륭포스트타워6차 앞,37.48088837,126.8838043,2022.12.1 0:30,3975,현대시티아울렛 가산,37.47739792,126.8887787
SPB-41128,1867,대륭포스트타워6차 앞,37.48088837,126.8838043,2022.12.1 0:47,3975,현대시티아울렛 가산,37.47739792,126.8887787
SPB-54868,1074,대명초교입구 사거리,37.54683685,127.1491623,2022.12.1 5:47,1086,래미안 솔베뉴(구천면로),37.55059814,127.1454544
SPB-42045,2910,도깨비시장,37.6220932,127.0744247,2022.12.1 1:34,2910,도깨비시장,37.6220932,127.0744247
SPB-52268,2910,도깨비시장,37.6220932,127.0744247,2022.12.1 3:24,1396,래미안장위퍼스트하이(513동),37.61844254,127.0514526
SPB-53946,3204,도림고가도로 밑,37.51124191,126.8981857,2022.12.1 0:57,771,목동아파트 703동 앞,37.52820587,126.870163
SPB-59429,1870,독산3동주민센터 앞,37.47507095,126.9033585,2022.12.1 2:05,2191,대학동주민센터,37.47068787,126.9364853
SPB-38079,3415,동대문역6번출구,37.57146072,127.010788,2022.12.1 5:18,3415,동대문역6번출구,37.57146072,127.010788
SPB-65687,3415,동대문역6번출구,37.57146072,127.010788,2022.12.1 6:07,3422,성균관대 정문,37.58479691,126.9971314
SPB-54066,474,동대문역사문화공원역 1번출구 뒤편,37.56629944,127.0084915,2022.12.1 3:28,3422,성균관대 정문,37.58479691,126.9971314
SPB-61237,474,동대문역사문화공원역 1번출구 뒤편,37.56629944,127.0084915,2022.12.1 4:06,474,동대문역사문화공원역 1번출구 뒤편,37.56629944,127.0084915
SPB-52723,3416,동묘앞역 6번출구,37.5715332,127.0156174,2022.12.1 3:35,471,회현사거리 남측,37.56035995,126.9826508
SPB-60428,3416,동묘앞역 6번출구,37.5715332,127.0156174,2022.12.1 4:18,3421,혜화역 1번출구,37.58385468,127.0018539
SPB-44122,1471,동양쇼핑 정류소 앞,37.61535263,127.0784912,2022.12.1 0:16,1468,먹골역 7번 출구,37.6114769,127.0773926
SPB-81393,1471,동양쇼핑 정류소 앞,37.61535263,127.0784912,2022.12.1 0:22,1471,동양쇼핑 정류소 앞,37.61535263,127.0784912
SPB-48408,2721,등촌1-10단지 교차로,37.56320572,126.8393631,2022.12.1 0:51,2715,마곡나루역 2번 출구,37.56692505,126.8274384
SPB-59138,2721,등촌1-10단지 교차로,37.56320572,126.8393631,2022.12.1 4:59,2728,마곡나루역 3번 출구,37.56580353,126.8280792
SPB-57167,2721,등촌1-10단지 교차로,37.56320572,126.8393631,2022.12.1 5:47,2742,강서구민올림픽체육센터,37.55990601,126.8504257
SPB-57898,1382,래미안월곡아파트 입구,37.60866547,127.0362701,2022.12.1 2:17,1558,강북문화정보도서관,37.62552643,127.037323
SPB-57672,2646,레이크펠리스101동앞,37.50775909,127.0912933,2022.12.1 5:22,2647,잠실 자전거 수리센터 앞,37.51156998,127.1010742
